submission_ID,city_id,date,avg_temp_c
1,C001,01/01/2019,-0.93
2,C001,02/01/2019,-0.94
3,C001,03/01/2019,-0.96
4,C001,04/01/2019,-0.96
5,C001,05/01/2019,-0.97
6,C001,06/01/2019,-0.98
7,C001,07/01/2019,-0.99
8,C002,01/01/2019,-0.35
9,C002,02/01/2019,-0.37
10,C002,03/01/2019,-0.38
11,C002,04/01/2019,-0.38
12,C002,05/01/2019,-0.4
13,C002,06/01/2019,-0.4
14,C002,07/01/2019,-0.41
15,C003,01/01/2019,0.74
16,C003,02/01/2019,0.74
17,C003,03/01/2019,0.74
18,C003,04/01/2019,0.74
19,C003,05/01/2019,0.74
20,C003,06/01/2019,0.74
21,C003,07/01/2019,0.74
22,C004,01/01/2019,-1.99
23,C004,02/01/2019,-1.98
24,C004,03/01/2019,-1.98
25,C004,04/01/2019,-2.0
26,C004,05/01/2019,-2.01
27,C004,06/01/2019,-1.99
28,C004,07/01/2019,-2.01
29,C005,01/01/2019,0.51
30,C005,02/01/2019,0.52
31,C005,03/01/2019,0.52
32,C005,04/01/2019,0.53
33,C005,05/01/2019,0.54
34,C005,06/01/2019,0.54
35,C005,07/01/2019,0.55
